District,City,year,pm25,pm10,so2,o3,no2,co
강원도,화천,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,화천,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,화천,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,화천,2018,21.31,36.3,0.0,0.03,0.01,0.44
강원도,화천,2019,17.36,32.18,0.0,0.03,0.01,0.49
강원도,화천,2020,16.0,26.42,0.0,0.03,0.01,0.45
강원도,화천,2021,15.36,28.83,0.0,0.03,0.01,0.38
강원도,화천,2022,15.27,26.09,0.0,0.03,0.01,0.34
강원도,횡성,2015,26.47,48.3,0.0,0.03,0.02,0.57
강원도,횡성,2016,26.68,45.8,0.0,0.03,0.02,0.54
강원도,횡성,2017,24.42,42.53,0.0,0.03,0.02,0.47
강원도,횡성,2018,24.0,43.0,0.0,0.01,0.02,0.6
강원도,횡성,2019,25.5,42.42,0.0,0.02,0.01,0.52
강원도,횡성,2020,19.92,32.67,0.0,0.02,0.01,0.42
강원도,횡성,2021,16.42,33.67,0.0,0.02,0.01,0.44
강원도,횡성,2022,15.73,27.46,0.0,0.03,0.01,0.44
경기도,가평,2015,28.06,48.64,0.0,0.02,0.01,0.39
경기도,가평,2016,28.54,47.67,0.0,0.03,0.01,0.42
경기도,가평,2017,20.92,45.17,0.0,0.03,0.01,0.43
경기도,가평,2018,21.0,32.58,0.0,0.03,0.01,0.42
경기도,가평,2019,19.17,32.25,0.0,0.03,0.01,0.47
경기도,가평,2020,17.5,31.25,0.0,0.03,0.01,0.43
경기도,가평,2021,17.83,34.58,0.0,0.03,0.01,0.4
경기도,가평,2022,17.45,29.18,0.0,0.03,0.01,0.41
경기도,고양,2015,28.06,51.67,0.0,0.03,0.02,0.48
경기도,고양,2016,28.54,53.83,0.0,0.03,0.02,0.45
경기도,고양,2017,27.9,54.75,0.0,0.03,0.02,0.45
경기도,고양,2018,25.0,43.58,0.0,0.02,0.02,0.44
경기도,고양,2019,24.92,44.5,0.0,0.03,0.02,0.46
경기도,고양,2020,20.08,39.75,0.0,0.03,0.02,0.45
경기도,고양,2021,20.17,41.5,0.0,0.03,0.02,0.46
경기도,고양,2022,18.64,33.91,0.0,0.03,0.02,0.38
경기도,과천,2015,28.06,46.75,0.0,0.02,0.03,0.61
경기도,과천,2016,23.0,47.5,0.0,0.02,0.03,0.59
경기도,과천,2017,24.17,45.75,0.0,0.02,0.03,0.58
