District,City,year,pm25,pm10,so2,o3,no2,co,AVG
강원도,인제,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.56
강원도,인제,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.62
강원도,인제,2018,21.31,36.3,0.0,0.03,0.01,0.44,81.97
강원도,인제,2019,15.78,26.78,0.0,0.03,0.0,0.46,81.81
강원도,인제,2020,15.5,24.75,0.0,0.03,0.0,0.4,82.08
강원도,정선,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.48
강원도,정선,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.75
강원도,정선,2017,24.42,42.53,0.0,0.03,0.02,0.47,80.78
강원도,정선,2018,21.31,36.3,0.0,0.03,0.01,0.44,81.02
강원도,정선,2019,20.25,34.83,0.0,0.04,0.01,0.42,81.61
강원도,정선,2020,16.92,30.33,0.0,0.04,0.01,0.4,81.77
강원도,철원,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.51
강원도,철원,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.71
강원도,철원,2017,24.42,42.53,0.0,0.03,0.02,0.47,80.87
강원도,철원,2018,21.31,36.3,0.0,0.03,0.01,0.44,80.88
강원도,철원,2019,21.75,39.08,0.0,0.04,0.01,0.48,80.92
강원도,철원,2020,20.42,32.75,0.0,0.03,0.01,0.43,81.5
강원도,춘천,2015,26.33,53.42,0.0,0.03,0.02,0.61,82.46
강원도,춘천,2016,27.0,48.92,0.0,0.03,0.02,0.57,82.84
강원도,춘천,2017,24.5,45.5,0.0,0.03,0.02,0.53,83.18
강원도,춘천,2018,21.5,40.08,0.0,0.03,0.02,0.49,83.55
강원도,춘천,2019,21.58,43.08,0.0,0.03,0.02,0.51,83.83
강원도,춘천,2020,19.92,33.5,0.0,0.03,0.01,0.48,84.3
강원도,태백,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.04
강원도,태백,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.52
강원도,태백,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.48
강원도,태백,2018,21.31,36.3,0.0,0.03,0.01,0.44,81.88
강원도,태백,2019,20.73,35.36,0.0,0.04,0.01,0.36,82.3
강원도,태백,2020,17.92,27.17,0.0,0.04,0.01,0.42,82.51
강원도,평창,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.9
강원도,평창,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.23
강원도,평창,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.54
강원도,평창,2018,22.67,35.33,0.0,0.03,0.01,0.45,81.81
강원도,평창,2019,24.08,41.83,0.0,0.03,0.01,0.38,82.53
강원도,평창,2020,16.58,35.0,0.0,0.03,0.01,0.32,82.94
강원도,홍천,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.74
강원도,홍천,2016,26.68,45.8,0.0,0.03,0.02,0.54,80.89
강원도,홍천,2017,24.42,42.53,0.0,0.03,0.02,0.47,80.93
강원도,홍천,2018,21.31,36.3,0.0,0.03,0.01,0.44,81.37
강원도,홍천,2019,22.36,36.18,0.0,0.03,0.01,0.44,81.68
강원도,홍천,2020,21.0,36.5,0.0,0.02,0.01,0.47,81.89
강원도,화천,2015,26.47,48.3,0.0,0.03,0.02,0.57,80.79
강원도,화천,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.28
강원도,화천,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.62
강원도,화천,2018,21.31,36.3,0.0,0.03,0.01,0.44,82.55
강원도,화천,2019,17.36,32.18,0.0,0.03,0.01,0.49,82.81
강원도,화천,2020,16.0,26.42,0.0,0.03,0.01,0.45,82.93
강원도,횡성,2015,26.47,48.3,0.0,0.03,0.02,0.57,81.56
강원도,횡성,2016,26.68,45.8,0.0,0.03,0.02,0.54,81.82
강원도,횡성,2017,24.42,42.53,0.0,0.03,0.02,0.47,81.96
강원도,횡성,2018,24.0,43.0,0.0,0.01,0.02,0.6,82.23
강원도,횡성,2019,25.5,42.42,0.0,0.02,0.01,0.52,82.4
강원도,횡성,2020,19.92,32.67,0.0,0.02,0.01,0.42,82.58
경기도,가평,2015,28.06,48.64,0.0,0.02,0.01,0.39,80.46
경기도,가평,2016,28.54,47.67,0.0,0.03,0.01,0.42,81.04
경기도,가평,2017,20.92,45.17,0.0,0.03,0.01,0.43,81.24
경기도,가평,2018,21.0,32.58,0.0,0.03,0.01,0.42,81.59
경기도,가평,2019,19.17,32.25,0.0,0.03,0.01,0.47,82.06
경기도,가평,2020,17.5,31.25,0.0,0.03,0.01,0.43,82.08
경기도,고양,2015,28.06,51.67,0.0,0.03,0.02,0.48,83.67
경기도,고양,2016,28.54,53.83,0.0,0.03,0.02,0.45,84.1
경기도,고양,2017,27.9,54.75,0.0,0.03,0.02,0.45,84.49
경기도,고양,2018,25.0,43.58,0.0,0.02,0.02,0.44,84.83
경기도,고양,2019,24.92,44.5,0.0,0.03,0.02,0.46,85.18
경기도,고양,2020,20.08,39.75,0.0,0.03,0.02,0.45,85.4
경기도,과천,2015,28.06,46.75,0.0,0.02,0.03,0.61,87.01
경기도,과천,2016,23.0,47.5,0.0,0.02,0.03,0.59,86.68
경기도,과천,2017,24.17,45.75,0.0,0.02,0.03,0.58,86.24
경기도,과천,2018,23.33,41.08,0.0,0.02,0.03,0.56,86.38
경기도,과천,2019,22.17,44.42,0.0,0.02,0.03,0.61,86.06
경기도,과천,2020,18.83,39.5,0.0,0.03,0.02,0.52,86.13
경기도,광명,2015,28.06,48.5,0.0,0.02,0.03,0.6,82.99
경기도,광명,2016,26.0,52.0,0.0,0.02,0.03,0.55,83.45
경기도,광명,2017,27.17,50.17,0.0,0.03,0.03,0.52,83.79
경기도,광명,2018,25.33,45.42,0.0,0.02,0.03,0.52,84.22
경기도,광명,2019,25.75,48.0,0.0,0.03,0.03,0.54,84.57
경기도,광명,2020,21.92,41.17,0.0,0.03,0.02,0.5,84.85
경기도,광주,2015,28.06,54.92,0.01,0.02,0.03,0.69,81.95
경기도,광주,2016,28.54,52.08,0.0,0.02,0.03,0.64,82.6
경기도,광주,2017,29.67,54.82,0.0,0.02,0.03,0.61,83.08
경기도,광주,2018,27.58,44.83,0.0,0.02,0.03,0.54,83.52
경기도,광주,2019,26.33,47.92,0.0,0.02,0.03,0.54,84.0
