Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
137,강원도,동해,2010,22.306,38.0,0.003,0.03,0.025,0.7,79.21
138,강원도,동해,2010,19.622,30.0,0.003,0.023,0.017,0.6,79.21
139,강원도,동해,2010,20.348,31.0,0.003,0.018,0.02,0.6,79.21
140,강원도,동해,2010,15.654,21.0,0.003,0.019,0.02,0.6,79.21
141,강원도,동해,2010,17.718,25.0,0.004,0.022,0.023,0.7,79.21
142,강원도,동해,2010,30.294,51.0,0.007,0.027,0.024,0.8,79.21
143,강원도,동해,2010,26.513,43.0,0.007,0.025,0.021,0.7,79.21
144,강원도,동해,2011,21.238,33.0,0.007,0.028,0.018,0.6,79.58
145,강원도,동해,2011,31.637,51.0,0.006,0.02,0.023,0.9,79.58
146,강원도,동해,2011,31.877,58.0,0.006,0.036,0.021,0.7,79.58
147,강원도,동해,2011,31.166,59.0,0.004,0.043,0.02,0.7,79.58
148,강원도,동해,2011,35.78,69.0,0.003,0.035,0.02,0.6,79.58
149,강원도,동해,2011,19.658,35.0,0.002,0.036,0.022,0.6,79.58
150,강원도,동해,2011,16.887,24.0,0.002,0.02,0.018,0.6,79.58
151,강원도,동해,2011,13.439,17.0,0.001,0.021,0.017,0.6,79.58
152,강원도,동해,2011,13.8,19.0,0.002,0.026,0.019,0.6,79.58
153,강원도,동해,2011,22.415,35.0,0.004,0.024,0.026,0.8,79.58
154,강원도,동해,2011,24.677,38.0,0.006,0.023,0.023,0.8,79.58
155,강원도,동해,2011,20.999,30.0,0.007,0.023,0.019,0.7,79.58
156,강원도,동해,2012,27.385,42.0,0.009,0.025,0.019,0.8,79.89
157,강원도,동해,2012,26.036,41.0,0.008,0.025,0.019,0.7,79.89
158,강원도,동해,2012,27.03,46.0,0.005,0.035,0.02,0.8,79.89
159,강원도,동해,2012,29.091,53.0,0.004,0.042,0.021,0.8,79.89
160,강원도,동해,2012,23.284,43.0,0.003,0.041,0.019,0.6,79.89
161,강원도,동해,2012,17.909,32.0,0.001,0.033,0.014,0.4,79.89
162,강원도,동해,2012,18.463,30.0,0.002,0.028,0.014,0.5,79.89
163,강원도,동해,2012,15.927,23.0,0.002,0.024,0.012,0.5,79.89
164,강원도,동해,2012,15.154,23.0,0.002,0.028,0.015,0.5,79.89
165,강원도,동해,2012,19.178,31.0,0.003,0.029,0.019,0.6,79.89
166,강원도,동해,2012,22.575,36.0,0.005,0.027,0.015,0.6,79.89
167,강원도,동해,2012,18.294,29.0,0.006,0.026,0.016,0.4,79.89
168,강원도,동해,2013,26.811,45.0,0.008,0.032,0.015,0.6,80.06
169,강원도,동해,2013,24.97,43.0,0.006,0.036,0.015,0.6,80.06
170,강원도,동해,2013,28.936,53.0,0.004,0.043,0.015,0.7,80.06
171,강원도,동해,2013,23.124,44.0,0.004,0.048,0.013,0.5,80.06
