District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
경기도,남양주,2018,23.833,41.083,0.003,0.026,0.021,0.442,1.34
경기도,남양주,2019,24.667,43.25,0.003,0.026,0.022,0.492,0.58
경기도,남양주,2020,19.75,36.083,0.003,0.026,0.02,0.417,0.35
경기도,동두천,2017,32.556,52.444,0.005,0.031,0.019,0.489,2.05
경기도,동두천,2018,24.167,42.917,0.004,0.031,0.016,0.408,2.07
경기도,동두천,2019,25.333,43.167,0.004,0.03,0.016,0.408,3.14
경기도,동두천,2020,19.0,34.25,0.004,0.027,0.014,0.408,1.06
경기도,부천,2015,32.091,52.818,0.006,0.024,0.03,0.555,1.17
경기도,부천,2016,26.083,58.0,0.006,0.024,0.029,0.492,1.18
경기도,부천,2017,23.25,48.917,0.006,0.026,0.029,0.483,1.06
경기도,부천,2018,27.333,48.667,0.004,0.022,0.027,0.5,2.01
경기도,부천,2019,31.583,55.0,0.005,0.025,0.028,0.533,1.91
경기도,부천,2020,25.167,45.167,0.004,0.026,0.026,0.483,0.97
경기도,성남,2015,20.417,50.667,0.005,0.021,0.036,0.6,0.15
경기도,성남,2016,23.833,46.167,0.004,0.022,0.035,0.6,0.33
경기도,성남,2017,26.083,45.25,0.004,0.026,0.032,0.567,0.8
경기도,성남,2018,24.0,42.333,0.004,0.023,0.031,0.517,0.83
경기도,성남,2019,23.083,42.75,0.003,0.024,0.03,0.575,1.35
경기도,성남,2020,19.75,37.0,0.002,0.025,0.025,0.542,0.79
경기도,수원,2015,25.0,48.333,0.005,0.023,0.034,0.625,0.42
경기도,수원,2016,25.917,52.5,0.004,0.023,0.032,0.633,0.63
경기도,수원,2017,25.75,47.833,0.004,0.027,0.032,0.592,0.34
경기도,수원,2018,23.667,41.0,0.003,0.023,0.03,0.583,1.17
경기도,수원,2019,25.25,43.167,0.003,0.025,0.029,0.6,1.12
경기도,수원,2020,20.583,38.167,0.003,0.026,0.025,0.542,0.69
경기도,시흥,2017,26.7,50.6,0.007,0.029,0.031,0.56,1.46
경기도,시흥,2018,28.417,48.833,0.005,0.024,0.03,0.558,1.15
경기도,시흥,2019,30.417,53.5,0.004,0.027,0.029,0.542,1.52
경기도,시흥,2020,23.5,41.167,0.004,0.028,0.024,0.492,1.03
경기도,안산,2015,25.667,51.917,0.005,0.026,0.031,0.525,1.26
경기도,안산,2016,28.667,51.917,0.005,0.025,0.03,0.492,0.79
경기도,안산,2017,26.667,47.917,0.005,0.028,0.027,0.483,0.72
경기도,안산,2018,24.0,41.667,0.005,0.025,0.026,0.467,2.75
경기도,안산,2019,23.583,44.5,0.004,0.027,0.026,0.508,0.45
경기도,안산,2020,18.75,37.167,0.003,0.027,0.023,0.433,0.31
경기도,안성,2016,41.0,59.0,0.005,0.01,0.028,0.5,0.0
경기도,안성,2017,26.167,55.417,0.004,0.027,0.018,0.375,0.0
경기도,안성,2018,29.5,48.583,0.003,0.026,0.016,0.392,1.09
경기도,안성,2019,28.0,47.083,0.003,0.032,0.018,0.508,0.54
경기도,안성,2020,24.083,40.083,0.002,0.03,0.015,0.425,0.54
경기도,안양,2016,26.667,50.667,0.003,0.012,0.028,0.6,1.29
경기도,안양,2017,23.75,49.333,0.004,0.026,0.03,0.525,0.89
경기도,안양,2018,26.833,46.917,0.004,0.022,0.031,0.508,1.55
경기도,안양,2019,24.5,47.833,0.004,0.024,0.029,0.533,1.12
경기도,안양,2020,21.917,40.583,0.003,0.026,0.025,0.533,0.58
경기도,양주,2017,29.2,51.4,0.004,0.033,0.016,0.43,0.96
경기도,양주,2018,26.5,46.417,0.004,0.032,0.013,0.392,4.19
경기도,양주,2019,26.083,44.417,0.003,0.031,0.017,0.417,2.73
경기도,양주,2020,20.0,35.25,0.003,0.029,0.015,0.408,0.44
경기도,양평,2015,23.5,42.0,0.003,0.016,0.018,0.55,0.0
경기도,양평,2016,23.75,46.583,0.003,0.028,0.016,0.517,0.0
경기도,양평,2017,26.333,45.667,0.003,0.027,0.016,0.458,0.88
경기도,양평,2018,23.083,39.5,0.003,0.026,0.015,0.442,1.73
경기도,양평,2019,23.167,41.5,0.002,0.027,0.014,0.475,2.58
경기도,양평,2020,20.333,36.333,0.002,0.027,0.014,0.467,0.0
경기도,여주,2016,35.5,46.833,0.004,0.023,0.021,0.533,0.9
경기도,여주,2017,28.417,56.833,0.004,0.026,0.021,0.483,0.89
경기도,여주,2018,24.667,43.917,0.004,0.025,0.019,0.508,1.79
경기도,여주,2019,31.273,47.818,0.004,0.026,0.02,0.527,1.8
경기도,여주,2020,24.75,39.0,0.004,0.029,0.014,0.467,0.0
경기도,연천,2016,32.0,47.0,0.004,0.02,0.01,0.425,0.0
