City,pm25,pm10,o3,no2,so2,co,Cluster,District_강원도,District_경기도,District_경상남도,District_경상북도,District_광주광역시,District_대구광역시,District_대전광역시,District_부산광역시,District_서울특별시,District_세종특별자치시,District_울산광역시,District_인천광역시,District_전라남도,District_전라북도,District_제주특별자치도,District_충청남도,District_충청북도
김제,13.045,44.244,0.027,0.014,0.003,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김천,12.172,47.526,0.03,0.013,0.004,0.464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김포,14.391,54.182,0.028,0.021,0.004,0.508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
김해,10.873,40.136,0.029,0.019,0.004,0.383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
나주,9.868,30.888,0.027,0.012,0.004,0.389,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
나주,9.868,30.888,0.027,0.012,0.004,0.389,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
나주,9.868,30.888,0.027,0.012,0.004,0.389,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남양주,10.441,45.439,0.025,0.024,0.003,0.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주,10.441,45.439,0.025,0.024,0.003,0.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남양주,10.441,45.439,0.025,0.024,0.003,0.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
