City,pm25,pm10,o3,no2,so2,co,Cluster
순천,10.928535353560605,34.265151515151516,0.030848484848484847,0.01306060606060606,0.004280303030303031,0.4916666666666667,0
시흥,11.783142811151516,52.85606060606061,0.025477272727272727,0.03181060606060606,0.006643939393939394,0.5818181818181818,-1
아산,11.123737373712121,46.74242424242424,0.025727272727272727,0.018848484848484847,0.003863636363636364,0.5393939393939394,0
안동,7.946969696863635,39.54585629015151,0.027644685492424242,0.01444874884848485,0.0037831152500000004,0.46494490358333335,0
안산,13.368771951787878,48.57575757575758,0.02528030303030303,0.028719696969696968,0.005340909090909091,0.5257575757575758,1
안성,11.980426331606061,52.84785353537879,0.02607575757575758,0.016257575757575755,0.0038712121212121212,0.4257575757575758,0
안양,11.131864493727273,49.371212121212125,0.02266666666666667,0.030999999999999996,0.004537878787878788,0.5340909090909091,1
양산,12.630523989848484,43.84848484848485,0.027462121212121212,0.02084848484848485,0.004666666666666666,0.43787878787878787,0
양주,11.124051902060605,56.431186868712125,0.028477272727272726,0.017727272727272727,0.005272727272727273,0.48333333333333334,1
여수,10.170959595984847,34.53787878787879,0.02918181818181818,0.01797727272727273,0.006780303030303031,0.5371212121212121,1
여주,20.012597203000002,51.903769841309526,0.026142857142857145,0.017976190476190475,0.004345238095238095,0.4892857142857143,0
영주,9.444329660272727,47.72882231409091,0.027924242424242424,0.014583333333333334,0.007488005053030303,0.671969696969697,1
영천,6.933654729060606,32.74242424272727,0.022438705333333333,0.011846418636363636,0.0036542699696969698,0.38966942163636364,2
오산,11.260415538424242,51.70454545454545,0.023810606060606063,0.028515151515151518,0.004287878787878788,0.48560606060606054,1
용인,11.370483735088234,50.1985294117647,0.022022058823529412,0.03016421568627451,0.004517156862745098,0.5806372549019608,1
울산광역시,12.285984848484848,43.10606060606061,0.027856060606060606,0.021803030303030303,0.006712121212121212,0.5068181818181818,1
원주,15.654671717272729,53.0,0.02481060606060606,0.020803030303030302,0.0043030303030303025,0.6507575757575758,1
의왕,12.542140250151515,50.21212121212121,0.021553030303030303,0.03371969696969697,0.004280303030303031,0.6537878787878788,1
의정부,12.951231159242425,48.97727272727273,0.02512878787878788,0.025583333333333336,0.00425,0.5757575757575758,1
이천,11.624051902060605,57.53724747477273,0.025462121212121214,0.020825757575757577,0.004545454545454545,0.4696969696969697,1
익산,15.837211399757576,51.46969696969697,0.02762878787878788,0.015545454545454546,0.004234848484848485,0.4484848484848485,0
인천광역시,13.246212121212121,47.053030303030305,0.02528787878787879,0.02612121212121212,0.006106060606060606,0.5636363636363637,1
전주,13.013133031174602,49.37698412698413,0.02786111111111111,0.01746825396825397,0.004388888888888889,0.45436507936507936,0
정읍,11.422619048,47.52230639734849,0.02627958153030303,0.013452922075757575,0.002803300871212121,0.3752164502121212,0
제천,12.309659090962121,47.756102693636365,0.023675925931818182,0.024010627106060604,0.004871159515151515,0.6433606902348484,1
진주,11.494160353484848,44.40151515151515,0.029143939393939392,0.01746969696969697,0.004484848484848485,0.49318181818181817,0
창원,10.977770969444444,43.759803921568626,0.030967320261437913,0.02068464052287582,0.00432843137254902,0.4792483660130719,0
천안,10.861111111118056,45.888888888888886,0.024756944444444443,0.022156250000000002,0.004034722222222222,0.5805555555555555,1
청주,18.425776583086023,49.064516129032256,0.02602688172043011,0.02118010752688172,0.0036344086021505378,0.4838709677419355,0
춘천,12.745580808181817,47.17424242424242,0.026818181818181817,0.0165,0.0034924242424242426,0.5545454545454546,0
충주,12.299347643159091,47.51010101007576,0.025833333333333333,0.02228030303030303,0.004204545454545455,0.5227272727272727,0
태백,8.910984849090909,32.31529581537879,0.023099567113636362,0.011741883015151515,0.0028531745227272725,0.3984307358257576,2
통영,9.68771043719697,34.883911228181816,0.026203185696969698,0.015294580500000002,0.003393308151515152,0.3478227791212121,2
파주,12.93427888160606,53.99242424242424,0.02559848484848485,0.021257575757575756,0.004348484848484848,0.593939393939394,1
평택,12.146779174787879,58.75,0.026083333333333333,0.021825757575757578,0.005325757575757576,0.43787878787878787,1
포천,11.729887405848485,61.995643939318185,0.02900675506060606,0.021203219696969696,0.0055681818181818185,0.5049368686969697,1
포항,8.711662075287878,43.36363636363637,0.030492424242424244,0.01506060606060606,0.0050075757575757576,0.5151515151515151,0
하남,11.86119619421212,45.70454545454545,0.02087121212121212,0.030143939393939393,0.004128787878787879,0.5280303030303031,1
화성,11.237688265696969,52.52272727272727,0.026174242424242426,0.02075757575757576,0.004492424242424242,0.43787878787878787,0
