District,City,2020,2019,2018,2017,2016,2015
경상북도,문경,1.39,0.0,1.38,1.35,1.33,1.32
경상북도,경산,0.76,0.38,1.54,0.39,0.0,0.0
경상북도,군위,0.0,0.0,4.16,0.0,0.0,0.0
경상북도,의성,0.0,0.0,0.0,1.86,0.0,0.0
경상북도,청송,3.96,3.91,0.0,0.0,0.0,3.79
경상북도,영양,0.0,0.0,5.74,0.0,0.0,0.0
경상북도,영덕,0.0,5.3,5.22,2.58,0.0,0.0
경상북도,청도,0.0,2.33,0.0,0.0,0.0,0.0
경상북도,고령,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,성주,0.0,0.0,2.23,2.21,0.0,0.0
경상북도,칠곡,0.0,0.85,1.67,0.0,0.81,0.0
경상북도,예천,0.0,3.69,0.0,0.0,0.0,0.0
경상북도,봉화,0.0,0.0,0.0,0.0,0.0,2.95
경상북도,울진,2.04,2.01,1.98,0.0,3.86,1.92
경상북도,울릉,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,창원,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,마산,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,진주,1.15,0.87,1.44,2.31,2.03,0.88
경상남도,진해,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,통영,0.0,0.0,1.48,1.46,0.0,0.0
경상남도,사천,0.9,2.66,1.75,0.87,0.0,0.86
경상남도,김해,0.18,0.56,0.38,0.94,1.13,0.57
경상남도,밀양,0.0,0.0,2.8,1.85,0.92,0.0
경상남도,거제,0.0,0.8,0.79,1.56,0.0,0.4
경상남도,양산,0.0,0.57,0.0,1.53,0.97,1.01
경상남도,창원,0.37,1.18,1.6,0.68,1.69,1.52
경상남도,의령,3.71,3.65,0.0,3.57,3.53,3.46
경상남도,함안,0.0,1.51,1.48,4.37,0.0,1.45
경상남도,창녕,0.0,0.0,1.57,1.56,1.56,0.0
경상남도,고성,1.93,0.0,0.0,1.84,5.46,1.8
경상남도,남해,0.0,0.0,4.51,2.23,2.2,2.16
경상남도,하동,0.0,2.13,0.0,2.03,0.0,0.0
경상남도,산청,2.85,2.8,2.77,5.52,5.54,0.0
경상남도,함양,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,거창,1.62,1.6,3.19,4.76,0.0,0.0
경상남도,합천,0.0,0.0,4.3,0.0,0.0,0.0
제주특별자치도,제주특별자치도,1.93,2.54,3.47,2.0,0.95,0.16
제주특별자치도,서귀포,1.1,2.2,5.01,1.72,1.79,0.0
