District,City,year,pm25,pm10,so2,o3,no2,co
경기도,과천,2016,23.0,47.5,0.004,0.023,0.03,0.592
경기도,과천,2017,24.167,45.75,0.004,0.025,0.028,0.583
경기도,과천,2018,23.333,41.083,0.003,0.021,0.027,0.558
경기도,과천,2019,22.167,44.417,0.003,0.024,0.028,0.608
경기도,과천,2020,18.833,39.5,0.003,0.026,0.024,0.517
경기도,과천,2021,18.167,43.333,0.002,0.027,0.023,0.533
경기도,과천,2022,17.636,32.182,0.002,0.029,0.02,0.418
경기도,광명,2015,,48.5,0.005,0.024,0.033,0.6
경기도,광명,2016,26.0,52.0,0.004,0.025,0.029,0.55
경기도,광명,2017,27.167,50.167,0.004,0.028,0.032,0.525
경기도,광명,2018,25.333,45.417,0.004,0.023,0.032,0.517
경기도,광명,2019,25.75,48.0,0.004,0.027,0.032,0.542
경기도,광명,2020,21.917,41.167,0.003,0.028,0.023,0.5
경기도,광명,2021,22.0,46.667,0.002,0.029,0.022,0.508
경기도,광명,2022,20.091,37.091,0.002,0.033,0.02,0.473
경기도,광주,2015,,54.917,0.006,0.021,0.034,0.692
경기도,광주,2016,,52.083,0.005,0.022,0.032,0.642
경기도,광주,2017,29.667,54.818,0.004,0.025,0.032,0.608
경기도,광주,2018,27.583,44.833,0.004,0.019,0.028,0.542
경기도,광주,2019,26.333,47.917,0.004,0.023,0.027,0.542
경기도,광주,2020,22.583,40.0,0.002,0.024,0.021,0.442
경기도,광주,2021,21.0,42.25,0.002,0.026,0.017,0.475
경기도,광주,2022,19.727,35.818,0.002,0.03,0.018,0.455
경기도,구리,2015,30.667,52.182,0.004,0.026,0.028,0.5
경기도,구리,2016,33.0,59.25,0.004,0.026,0.027,0.425
경기도,구리,2017,29.583,58.167,0.004,0.027,0.027,0.408
경기도,구리,2018,23.667,42.667,0.003,0.024,0.025,0.392
경기도,구리,2019,25.333,44.833,0.003,0.026,0.024,0.4
경기도,구리,2020,20.417,37.333,0.003,0.027,0.019,0.392
경기도,구리,2021,19.083,39.167,0.003,0.028,0.016,0.342
경기도,구리,2022,17.182,31.818,0.002,0.028,0.015,0.227
경기도,군포,2015,,53.583,0.004,0.023,0.033,0.483
경기도,군포,2016,,50.917,0.005,0.027,0.03,0.458
경기도,군포,2017,25.6,51.083,0.005,0.028,0.029,0.425
경기도,군포,2018,26.167,45.667,0.004,0.023,0.03,0.458
경기도,군포,2019,24.667,49.833,0.004,0.028,0.026,0.475
경기도,군포,2020,20.917,37.25,0.004,0.029,0.023,0.425
경기도,군포,2021,20.5,41.583,0.004,0.028,0.023,0.45
경기도,군포,2022,18.091,34.727,0.002,0.029,0.02,0.364
경기도,김포,2015,27.25,56.167,0.005,0.027,0.023,0.517
경기도,김포,2016,32.917,60.583,0.004,0.028,0.022,0.483
경기도,김포,2017,27.25,63.25,0.004,0.031,0.02,0.425
경기도,김포,2018,23.833,42.833,0.004,0.027,0.019,0.333
경기도,김포,2019,26.0,46.667,0.004,0.031,0.016,0.392
경기도,김포,2020,22.583,40.583,0.003,0.031,0.014,0.417
경기도,김포,2021,24.583,45.167,0.003,0.032,0.016,0.408
경기도,김포,2022,21.0,35.636,0.002,0.035,0.013,0.355
경기도,남양주,2015,,48.167,0.004,0.025,0.023,0.517
경기도,남양주,2016,,44.833,0.003,0.025,0.023,0.5
경기도,남양주,2017,23.667,43.75,0.003,0.026,0.022,0.467
경기도,남양주,2018,23.833,41.083,0.003,0.026,0.021,0.442
경기도,남양주,2019,24.667,43.25,0.003,0.026,0.022,0.492
경기도,남양주,2020,19.75,36.083,0.003,0.026,0.02,0.417
경기도,남양주,2021,18.0,39.167,0.002,0.028,0.017,0.358
경기도,남양주,2022,17.091,32.273,0.002,0.03,0.016,0.327
경기도,동두천,2015,,64.545,0.006,0.03,0.016,0.433
경기도,동두천,2016,,55.5,0.005,0.026,0.018,0.483
경기도,동두천,2017,31.2,55.0,0.005,0.03,0.019,0.517
경기도,동두천,2018,24.167,42.917,0.004,0.031,0.016,0.408
경기도,동두천,2019,25.333,43.167,0.004,0.03,0.016,0.408
경기도,동두천,2020,19.0,34.25,0.004,0.027,0.014,0.408
