District,City,year,pm25,pm10,so2,o3,no2,co,AVG
경기도,김포,2017,27.25,63.25,0.004,0.031,0.02,0.425,84.23
경기도,김포,2018,23.833,42.833,0.004,0.027,0.019,0.333,84.45
경기도,김포,2019,26.0,46.667,0.004,0.031,0.016,0.392,84.77
경기도,김포,2020,22.583,40.583,0.003,0.031,0.014,0.417,84.93
경기도,남양주,2015,28.059,48.167,0.004,0.025,0.023,0.517,82.35
경기도,남양주,2016,28.54,44.833,0.003,0.025,0.023,0.5,82.93
경기도,남양주,2017,23.667,43.75,0.003,0.026,0.022,0.467,83.31
경기도,남양주,2018,23.833,41.083,0.003,0.026,0.021,0.442,83.69
경기도,남양주,2019,24.667,43.25,0.003,0.026,0.022,0.492,83.97
경기도,남양주,2020,19.75,36.083,0.003,0.026,0.02,0.417,84.32
경기도,동두천,2015,28.059,64.545,0.006,0.03,0.016,0.433,80.87
경기도,동두천,2016,28.54,55.5,0.005,0.026,0.018,0.483,81.1
경기도,동두천,2017,31.2,55.0,0.005,0.03,0.019,0.517,81.27
경기도,동두천,2018,24.167,42.917,0.004,0.031,0.016,0.408,81.41
경기도,동두천,2019,25.333,43.167,0.004,0.03,0.016,0.408,81.54
경기도,동두천,2020,19.0,34.25,0.004,0.027,0.014,0.408,81.91
경기도,부천,2015,32.091,50.75,0.006,0.024,0.029,0.542,81.83
경기도,부천,2016,26.083,58.0,0.006,0.024,0.029,0.492,82.993
경기도,부천,2017,23.25,48.917,0.006,0.026,0.029,0.483,83.412
경기도,부천,2018,27.333,48.667,0.004,0.022,0.027,0.5,83.515
경기도,부천,2019,31.583,55.0,0.005,0.025,0.028,0.533,83.75
경기도,부천,2020,25.167,45.167,0.004,0.026,0.026,0.483,83.95
경기도,성남,2015,20.417,50.667,0.005,0.021,0.036,0.6,83.7
경기도,성남,2016,23.833,46.167,0.004,0.022,0.035,0.6,83.35
경기도,성남,2017,26.083,45.25,0.004,0.026,0.032,0.567,83.603
경기도,성남,2018,24.0,42.333,0.004,0.023,0.031,0.517,83.893
경기도,성남,2019,23.083,42.75,0.003,0.024,0.03,0.575,84.287
경기도,성남,2020,19.75,37.0,0.002,0.025,0.025,0.542,84.607
경기도,수원,2015,25.0,48.333,0.005,0.023,0.034,0.625,82.512
경기도,수원,2016,25.917,52.5,0.004,0.023,0.032,0.633,83.03
경기도,수원,2017,25.75,47.833,0.004,0.027,0.032,0.592,83.395
경기도,수원,2018,23.667,41.0,0.003,0.023,0.03,0.583,83.762
경기도,수원,2019,25.25,43.167,0.003,0.025,0.029,0.6,84.042
경기도,수원,2020,20.583,38.167,0.003,0.026,0.025,0.542,84.268
경기도,시흥,2015,28.059,54.583,0.007,0.025,0.034,0.617,81.71
경기도,시흥,2016,28.54,52.417,0.007,0.027,0.034,0.617,82.17
경기도,시흥,2017,26.7,52.083,0.007,0.029,0.032,0.583,82.46
경기도,시흥,2018,28.417,48.833,0.005,0.024,0.03,0.558,82.78
경기도,시흥,2019,30.417,53.5,0.004,0.027,0.029,0.542,83.35
경기도,시흥,2020,23.5,41.167,0.004,0.028,0.024,0.492,83.64
경기도,안산,2015,25.667,51.917,0.005,0.026,0.031,0.525,82.09
경기도,안산,2016,28.667,51.917,0.005,0.025,0.03,0.492,82.47
경기도,안산,2017,26.667,47.917,0.005,0.028,0.027,0.483,82.66
경기도,안산,2018,24.0,41.667,0.005,0.025,0.026,0.467,82.885
경기도,안산,2019,23.583,44.5,0.004,0.027,0.026,0.508,83.145
경기도,안산,2020,18.75,37.167,0.003,0.027,0.023,0.433,83.54
경기도,안성,2015,28.059,50.091,0.004,0.025,0.014,0.408,81.84
