시도,시군구,2020,2019,2018,2017,2016,2015
충청북도,통합청주시 상당구,1.09,1.13,1.15,0.58,0.0,0.0
충청북도,통합청주시 서원구,0.0,0.39,0.39,0.46,0.0,0.0
충청북도,통합청주시 흥덕구,0.76,0.0,2.35,0.39,0.0,0.0
충청북도,통합청주시 청원구,0.51,0.0,1.02,0.0,0.0,0.0
충청북도,보은군,3.06,3.0,5.91,0.0,0.0,0.0
충청북도,옥천군,0.0,1.95,0.0,0.0,0.0,0.0
충청북도,영동군,0.0,0.0,4.0,3.97,0.0,0.0
충청북도,진천군,0.0,0.0,1.32,1.39,0.0,0.0
충청북도,괴산군,0.0,0.0,0.0,0.0,0.0,0.0
충청북도,음성군,1.06,0.0,3.11,0.0,0.0,0.0
충청북도,단양군,0.0,3.33,3.31,0.0,0.0,0.0
충청북도,증평군,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,충청남도,0.9,0.8,1.18,0.62,0.91,0.29
충청남도,천안시,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,천안시 동남구,0.39,1.16,1.17,0.78,1.54,0.0
충청남도,천안시 서북구,0.25,0.51,0.52,0.82,0.0,0.0
충청남도,공주시,0.95,0.0,1.85,0.0,0.9,0.0
충청남도,보령시,0.99,0.98,1.95,0.97,0.96,0.0
충청남도,아산시,1.9,0.64,1.6,0.0,0.33,0.68
충청남도,서산시,0.57,0.0,1.16,0.58,0.59,0.0
충청남도,논산시,1.7,0.0,0.82,0.0,0.81,0.0
충청남도,계룡시,0.0,4.61,0.0,0.0,0.0,2.43
충청남도,당진시,1.2,0.6,0.6,0.0,1.21,0.61
충청남도,금산군,0.0,5.69,3.73,0.0,1.83,0.0
충청남도,연기군,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,부여군,0.0,0.0,1.46,1.44,1.42,1.4
충청남도,서천군,1.91,1.87,1.83,0.0,1.77,0.0
충청남도,청양군,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,홍성군,2.99,0.0,0.99,2.98,4.11,1.07
충청남도,예산군,0.0,1.26,1.25,2.47,0.0,0.0
충청남도,태안군,0.0,1.59,1.57,0.0,1.57,0.0
전라북도,전라북도,0.5,1.31,0.76,1.02,0.48,0.32
전라북도,전주시,0.0,0.0,0.0,0.0,0.0,0.0
