District,City,Year,Percentage
충청남도,부여,2015,1.4
충청남도,서산,2020,0.57
충청남도,서산,2019,0.0
충청남도,서산,2018,1.16
충청남도,서산,2017,0.58
충청남도,서산,2016,0.59
충청남도,서산,2015,0.0
충청남도,서천,2020,1.91
충청남도,서천,2019,1.87
충청남도,서천,2018,1.83
충청남도,서천,2017,0.0
충청남도,서천,2016,1.77
충청남도,서천,2015,0.0
충청남도,아산,2020,1.9
충청남도,아산,2019,0.64
충청남도,아산,2018,1.6
충청남도,아산,2017,0.0
충청남도,아산,2016,0.33
충청남도,아산,2015,0.68
충청남도,연기,2020,0.0
충청남도,연기,2019,0.0
충청남도,연기,2018,0.0
충청남도,연기,2017,0.0
충청남도,연기,2016,0.0
충청남도,연기,2015,0.0
충청남도,예산,2020,0.0
충청남도,예산,2019,1.26
충청남도,예산,2018,1.25
충청남도,예산,2017,2.47
충청남도,예산,2016,0.0
충청남도,예산,2015,0.0
충청남도,천안,2020,0.32
충청남도,천안,2019,0.84
충청남도,천안,2018,0.85
충청남도,천안,2017,0.8
충청남도,천안,2016,0.77
충청남도,천안,2015,0.0
충청남도,청양,2020,0.0
충청남도,청양,2019,0.0
충청남도,청양,2018,0.0
충청남도,청양,2017,0.0
